"Date","Time","TimeZone","Name","Type","Status","Currency","Amount","Receipt ID","Balance"
"12/10/2017","02:56:23","PST","","General Credit Card Deposit","Completed","USD","9.99","","9.99"
"12/10/2017","02:56:23","PST","Netflix.com","PreApproved Payment Bill User Payment","Completed","USD","-9.99","","0.00"
"1/10/2018","03:05:59","PST","","General Credit Card Deposit","Completed","USD","9.99","","9.99"
"1/10/2018","03:05:59","PST","Netflix.com","PreApproved Payment Bill User Payment","Completed","USD","-9.99","","0.00"
"1/14/2018","15:25:55","PST","","General Credit Card Deposit","Completed","USD","10.00","","10.00"
"1/14/2018","15:25:55","PST","Gumroad Inc","PreApproved Payment Bill User Payment","Completed","USD","-10.00","","0.00"
"1/17/2018","10:24:46","PST","","General Credit Card Deposit","Completed","USD","49.00","","49.00"
"1/17/2018","10:24:46","PST","The Institute of Electrical and Electronics Engineers, Inc.","Express Checkout Payment","Completed","USD","-49.00","","0.00"
"2/10/2018","03:51:20","PST","","General Credit Card Deposit","Completed","USD","9.99","","9.99"
"2/10/2018","03:51:20","PST","Netflix.com","PreApproved Payment Bill User Payment","Completed","USD","-9.99","","0.00"
"3/10/2018","01:44:14","PST","","General Credit Card Deposit","Completed","USD","9.99","","9.99"
"3/10/2018","01:44:14","PST","Netflix.com","PreApproved Payment Bill User Payment","Completed","USD","-9.99","","0.00"
"4/10/2018","01:20:45","PDT","","General Credit Card Deposit","Completed","USD","9.99","","9.99"
"4/10/2018","01:20:45","PDT","Netflix.com","PreApproved Payment Bill User Payment","Completed","USD","-9.99","","0.00"
"4/25/2018","18:17:14","PDT","","General Credit Card Deposit","Completed","USD","48.00","","48.00"
"4/25/2018","18:17:14","PDT","GrubHub Seamless","PreApproved Payment Bill User Payment","Completed","USD","-48.00","","0.00"
"5/10/2018","01:24:16","PDT","Netflix.com","PreApproved Payment Bill User Payment","Completed","USD","-9.99","","-9.99"
"5/10/2018","01:24:16","PDT","","General Credit Card Deposit","Completed","USD","9.99","","0.00"
"5/12/2018","09:18:33","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-13.40","","-13.40"
"5/12/2018","09:18:33","PDT","","General Credit Card Deposit","Completed","USD","13.40","","0.00"
"5/14/2018","00:51:04","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-3.13","","-3.13"
"5/14/2018","00:51:04","PDT","","General Credit Card Deposit","Completed","USD","3.13","","0.00"
"5/17/2018","01:22:56","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-22.11","","-22.11"
"5/17/2018","01:22:56","PDT","","General Credit Card Deposit","Completed","USD","22.11","","0.00"
"5/18/2018","21:50:55","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-3.19","","-3.19"
"5/18/2018","21:50:55","PDT","","General Credit Card Deposit","Completed","USD","3.19","","0.00"
"5/19/2018","01:24:22","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-3.97","","-3.97"
"5/19/2018","01:24:22","PDT","","General Credit Card Deposit","Completed","USD","3.97","","0.00"
"5/20/2018","01:34:20","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-4.68","","-4.68"
"5/20/2018","01:34:20","PDT","","General Credit Card Deposit","Completed","USD","4.68","","0.00"
"5/22/2018","16:28:34","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-3.19","","-3.19"
"5/22/2018","16:28:34","PDT","","General Credit Card Deposit","Completed","USD","3.19","","0.00"
"5/23/2018","10:44:20","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-3.97","","-3.97"
"5/23/2018","10:44:20","PDT","","General Credit Card Deposit","Completed","USD","3.97","","0.00"
"5/24/2018","11:05:59","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-3.95","","-3.95"
"5/24/2018","11:05:59","PDT","","General Credit Card Deposit","Completed","USD","3.95","","0.00"
"5/29/2018","18:00:53","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-3.94","","-3.94"
"5/29/2018","18:00:53","PDT","","General Credit Card Deposit","Completed","USD","3.94","","0.00"
"5/30/2018","20:49:45","PDT","Lyft","PreApproved Payment Bill User Payment","Completed","USD","-4.91","","-4.91"
"5/30/2018","20:49:45","PDT","","General Credit Card Deposit","Completed","USD","4.91","","0.00"
